code,name,symbol
eE001,NSG_5_CREDITS,
eE002,NSG_ADVANCEMENT_COUNTER,
eE003,NSG_ADVANCEMENT_COUNTER_REVERSE,
eE004,NSG_AGENDA,
eE005,NSG_Archives_Icon,
eE006,NSG_BAD_PUBLICITY,
eE007,NSG_BAD_PUBLICITY_SPENT,
eE008,NSG_CLICK,
eE009,NSG_CLICK_BLUE,
eE00A,NSG_CLICK_SPENT,
eE00B,NSG_CORE_DAMAGE,
eE00C,NSG_CREDIT,
eE00D,NSG_GENERIC_COUNTER_BLUE,
eE00E,NSG_GENERIC_COUNTER_GREEEN,
eE00F,NSG_HQ_Icon,
eE010,NSG_INTERRUPT,
eE011,NSG_LINK,
eE012,NSG_Mu,
eE013,NSG_RD_Icon,
eE014,NSG_RECURRING_CREDIT,
eE015,NSG_REZ_COST,
eE016,NSG_SUBROUTINE,
eE017,NSG_TAG,
eE018,NSG_TRASH_ABILITY,
eE019,NSG_TRASH_COST bw,
eE01A,NSG_VIRUS_COUNTER,
